cod_colaborador,cod_agencia
7,1
13,1
14,1
23,1
24,1
30,1
31,1
34,1
42,1
58,1
62,1
67,1
72,1
77,1
79,1
83,1
12,2
15,2
22,2
28,2
46,2
56,2
57,2
63,2
65,2
69,2
70,2
81,2
96,2
4,3
27,3
37,3
41,3
45,3
47,3
49,3
74,3
78,3
88,3
98,3
3,4
32,4
61,4
73,4
5,5
9,5
10,5
21,5
36,5
43,5
50,5
52,5
55,5
59,5
60,5
76,5
92,5
2,6
16,6
17,6
29,6
44,6
53,6
54,6
66,6
87,6
93,6
97,6
20,7
26,7
48,7
64,7
84,7
85,7
86,7
33,8
35,8
40,8
51,8
68,8
80,8
94,8
1,9
11,9
25,9
38,9
39,9
75,9
90,9
91,9
6,10
8,10
18,10
19,10
71,10
82,10
89,10
95,10
99,10
100,10
